month,ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax
January,22.86,-1.5,6.9,15.3,-5.3,1.5,13.77
February,19.58,-0.1,8.8,17.6,-4.9,1.91,16.49
March,16.2,2.3,11.7,21,-5,2.96,21.48
April,8.76,5.3,15.4,25.4,-5.1,4.65,29.11
May,7.31,10,20.1,30.2,-2.9,7.19,38.52
June,11.27,14.9,24.7,34.5,1.5,10.17,48.34
July,75.12,18.2,26.2,34.2,11.3,5.77,41.84
August,64.99,17.4,24.9,32.4,14.1,3.37,34.81
September,32.21,14.3,22.6,30.9,9.7,4.09,33.36
October,31.7,8,17.1,26.2,2.3,3.74,28.2
November,20.71,1.8,10.9,20.1,-3.3,2.54,19.78
December,32.46,-1.7,6.7,15.1,-5.1,1.41,13.41
Annual,343.17,7.4,16.3,25.2,0.6,4.11,28.26
