"Observer","ScientificName","CommonName","x","dates","county","easting","northing","UTMZone","datum","coordinate_type","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Dumandan, Patricia","Amphispiza bilineata","Black-throated sparrow",1,2022-01-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Amphispiza bilineata","Black-throated sparrow",1,2022-12-17,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Amphispiza bilineata","Black-throated sparrow",1,2022-02-27,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-01-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-07-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-11-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-09-24,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-02-27,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Ammospermophilus harrisi","Harris's antelope squirrel",1,2022-09-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Campylorhynchus brunneicapillus","Cactus wren",1,2022-07-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2022-02-26,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2022-07-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",5,2022-02-27,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2022-02-27,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",8,2022-09-24,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",12,2022-01-08,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",7,2022-05-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",11,2022-12-17,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2022-11-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",5,2022-09-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",8,2022-07-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2022-01-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",14,2022-04-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2022-07-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2022-12-17,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2022-09-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",16,2022-02-26,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
