"ScientificName","CommonName","x","dates","county","waterbody","easting","northing","UTMZone","datum","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2018-04-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2018-05-20,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2018-07-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Campylorhynchus brunneicapillus","Cactus wren",1,2018-09-04,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",8,2018-11-10,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",1,2018-10-06,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",3,2018-10-07,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",8,2018-03-25,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",12,2018-01-20,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-04-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",5,2018-09-05,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",8,2018-11-10,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",10,2018-03-25,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-08-12,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-07-14,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",3,2018-11-11,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",12,2018-03-24,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",5,2018-05-20,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-05-19,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-10-07,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",4,2018-05-19,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",8,2018-06-09,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",13,2018-04-14,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",3,2018-09-05,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-06-10,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-10-06,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-07-14,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-08-13,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-08-13,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-07-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",17,2018-03-24,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",9,2018-06-09,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-09-04,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",5,2018-08-12,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",4,2018-12-09,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",12,2018-02-17,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",10,2018-01-20,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",8,2018-11-11,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-10-06,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",6,2018-05-20,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",5,2018-07-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",12,2018-12-09,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",13,2018-02-17,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",10,2018-04-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",18,2018-04-14,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",9,2018-06-10,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",7,2018-09-04,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys ordii","Ord's kangaroo rat",1,2018-02-17,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
