"Observer","ScientificName","CommonName","x","dates","county","easting","northing","UTMZone","datum","coordinate_type","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",1,2021-06-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",6,2021-06-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2021-12-05,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",7,2021-10-17,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",8,2021-10-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",3,2021-06-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",5,2021-11-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",5,2021-12-05,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",1,2021-06-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",3,2021-10-17,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",7,2021-11-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",12,2021-12-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",6,2021-11-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",10,2021-12-05,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2021-11-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",2,2021-06-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",7,2021-12-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",1,2021-06-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2021-11-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",7,2021-10-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",4,2021-08-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
