"Observer","ScientificName","CommonName","x","dates","county","easting","northing","UTMZone","datum","coordinate_type","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Padgett, Raven","Ammospermophilus harrisi","Harris's antelope squirrel",2,2025-07-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Campylorhynchus brunneicapillus","Cactus wren",1,2025-12-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-12-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Dead","","","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",6,2025-07-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-11-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",4,2025-07-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",12,2025-05-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-09-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",2,2025-03-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",1,2025-05-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-10-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-11-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-11-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",4,2025-05-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",3,2025-11-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",3,2025-12-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",4,2025-12-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",8,2025-03-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",1,2025-08-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-11-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Dead","","","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",3,2025-04-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",4,2025-05-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",5,2025-04-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-10-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-11-29,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",1,2025-04-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",1,2025-08-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",3,2025-12-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-09-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",7,2025-02-08,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-10-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",9,2025-05-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",1,2025-08-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",6,2025-06-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",5,2025-02-08,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-09-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",4,2025-09-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",3,2025-08-30,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",1,2025-08-31,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-12-13,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",4,2025-10-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-09-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",6,2025-06-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Dipodomys merriami","Merriam's kangaroo rat",5,2025-04-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",2,2025-05-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",3,2025-02-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",4,2025-10-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",7,2025-03-02,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",2,2025-12-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",3,2025-12-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",5,2025-03-01,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",3,2025-02-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Dipodomys merriami","Merriam's kangaroo rat",1,2025-10-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Padgett, Raven","Dipodomys merriami","Merriam's kangaroo rat",4,2025-05-04,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Lamb, Samantha","Chaetodipus baileyi","Bailey's pocket mouse",1,2025-09-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Yenni, Glenda","Chaetodipus baileyi","Bailey's pocket mouse",2,2025-04-03,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
