"Observer","ScientificName","CommonName","x","dates","county","waterbody","easting","northing","UTMZone","datum","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Bledsoe, Ellen","Chaetodipus penicillatus","Desert pocket mouse",11,2019-07-07,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Chaetodipus penicillatus","Desert pocket mouse",2,2019-08-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Chaetodipus penicillatus","Desert pocket mouse",3,2019-03-01,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Chaetodipus penicillatus","Desert pocket mouse",33,2019-09-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Chaetodipus penicillatus","Desert pocket mouse",9,2019-10-26,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-02-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-02-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",2,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-03-01,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-03-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Reithrodontomys megalotis","Western harvest mouse",3,2019-04-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-11-24,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-11-24,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-02-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys megalotis","Western harvest mouse",1,2019-03-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Reithrodontomys megalotis","Western harvest mouse",1,2019-04-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Reithrodontomys sp.","Harvest mouse",1,2019-02-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Sigmodon hispidus","Hispid cotton rat",1,2019-07-06,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Spermophilus spilosoma","Spotted ground squirrel",1,2019-03-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Unknown Bird","Unidentified bird",1,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Sparrow sp.","Unidentified sparrow",1,2019-11-24,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
