gps_num,plot,type,number,east,north,elev,hor_error,vert_error,flag,notes
999,1,corner,1,681200.786,3535287.252,1321.703,0.018,0.025,0,
1011,1,corner,2,681251.067,3535288.523,1321.079,0.018,0.023,0,
1060,1,corner,3,681201.277,3535237.74,1322.356,0.017,0.018,0,
1069,1,corner,4,681250.717,3535238.482,1321.288,0.017,0.017,0,
1001,1,quadrat,11,681206.803,3535279.301,1321.418,0.016,0.021,0,
1004,1,quadrat,13,681219.356,3535279.596,1321.242,0.019,0.025,0,
1007,1,quadrat,15,681231.074,3535279.783,1321.08,0.02,0.027,0,
1010,1,quadrat,17,681243.332,3535279.896,1320.934,0.021,0.029,0,
1022,1,quadrat,31,681207.18,3535267.051,1321.632,0.021,0.024,0,
1025,1,quadrat,33,681219.284,3535267.206,1321.327,0.02,0.023,0,
1028,1,quadrat,35,681231.372,3535267.346,1321.047,0.019,0.022,0,
1031,1,quadrat,37,681243.892,3535267.446,1321.039,0.021,0.022,0,
1040,1,quadrat,51,681206.907,3535254.63,1321.826,0.019,0.021,0,
1043,1,quadrat,53,681219.34,3535254.615,1321.596,0.017,0.018,0,
1046,1,quadrat,55,681231.582,3535254.766,1321.091,0.018,0.02,0,
1049,1,quadrat,57,681244.081,3535255.037,1320.896,0.017,0.017,0,
1059,1,quadrat,71,681207.209,3535242.178,1322.07,0.017,0.017,0,
1063,1,quadrat,73,681219.455,3535242.142,1321.73,0.017,0.019,0,
1066,1,quadrat,75,681231.551,3535242.309,1321.33,0.018,0.018,0,
2718,1,quadrat,77,681242.4,3535242.83,1323,1,1,1,reduced_accuracy
1000,1,stake,11,681207.279,3535281.37,1321.41,0.017,0.023,0,
1002,1,stake,12,681213.545,3535281.561,1321.301,0.018,0.025,0,
1003,1,stake,13,681219.887,3535281.58,1321.266,0.02,0.027,0,
1005,1,stake,14,681225.779,3535281.675,1321.145,0.019,0.025,0,
1006,1,stake,15,681231.824,3535281.682,1321.112,0.021,0.027,0,
1008,1,stake,16,681238.275,3535281.498,1321.043,0.018,0.024,0,
1009,1,stake,17,681244.224,3535281.574,1321.027,0.024,0.028,0,
1020,1,stake,21,681207.087,3535275.669,1321.557,0.021,0.024,0,
1018,1,stake,22,681213.715,3535275.366,1321.419,0.019,0.024,0,
1017,1,stake,23,681219.845,3535275.802,1321.232,0.017,0.021,0,
1016,1,stake,24,681225.799,3535275.502,1321.13,0.023,0.028,0,
1015,1,stake,25,681231.759,3535275.599,1321.085,0.02,0.023,0,
1013,1,stake,26,681238.149,3535275.651,1320.961,0.019,0.027,0,
1012,1,stake,27,681244.211,3535275.654,1320.918,0.018,0.026,0,
1021,1,stake,31,681207.319,3535269.088,1321.621,0.024,0.026,0,
1023,1,stake,32,681213.662,3535268.777,1321.483,0.02,0.022,0,
1024,1,stake,33,681219.906,3535269.201,1321.33,0.02,0.023,0,
1026,1,stake,34,681225.905,3535269.238,1321.184,0.021,0.023,0,
1027,1,stake,35,681231.865,3535269.345,1321.048,0.02,0.022,0,
1029,1,stake,36,681238.103,3535269.139,1321.049,0.019,0.021,0,
1030,1,stake,37,681244.259,3535269.457,1320.963,0.018,0.02,0,
1038,1,stake,41,681207.417,3535262.895,1321.634,0.018,0.019,0,
1037,1,stake,42,681213.2,3535263.249,1321.51,0.018,0.019,0,
1036,1,stake,43,681219.912,3535262.786,1321.36,0.018,0.019,0,
1035,1,stake,44,681225.976,3535262.989,1321.239,0.018,0.02,0,
1034,1,stake,45,681231.903,3535263.263,1321.072,0.019,0.021,0,
1033,1,stake,46,681238.268,3535263.069,1320.993,0.019,0.021,0,
1032,1,stake,47,681244.481,3535263.106,1320.933,0.019,0.021,0,
1039,1,stake,51,681207.441,3535256.627,1321.787,0.018,0.019,0,
1041,1,stake,52,681213.654,3535256.386,1321.686,0.019,0.02,0,
1042,1,stake,53,681219.869,3535256.655,1321.565,0.017,0.018,0,
1044,1,stake,55,681225.996,3535256.738,1321.277,0.019,0.019,0,
1045,1,stake,55,681232.051,3535256.786,1321.095,0.017,0.018,0,
1047,1,stake,56,681238.301,3535256.891,1320.999,0.017,0.018,0,
1048,1,stake,57,681244.668,3535257.056,1320.882,0.019,0.02,0,
1056,1,stake,61,681207.391,3535250.391,1321.928,0.017,0.017,0,
1055,1,stake,62,681213.739,3535250.198,1321.891,0.018,0.017,0,
1054,1,stake,63,681219.946,3535250.382,1321.66,0.017,0.016,0,
1053,1,stake,64,681226.021,3535250.528,1321.389,0.018,0.016,0,
1052,1,stake,65,681232.22,3535250.525,1321.126,0.016,0.015,0,
1051,1,stake,66,681238.427,3535250.564,1321.022,0.017,0.017,0,
1050,1,stake,67,681244.749,3535250.674,1320.931,0.018,0.017,0,
1057,1,stake,71,681207.528,3535244.181,1322.032,0.014,0.014,0,
1061,1,stake,72,681214.223,3535243.863,1321.886,0.017,0.019,0,
