gps_num,plot,type,number,east,north,elev,hor_error,vert_error,flag,notes
1062,1,stake,73,681219.928,3535244.066,1321.787,0.017,0.019,0,
1064,1,stake,74,681226.078,3535244.221,1321.477,0.017,0.018,0,
1065,1,stake,75,681232.162,3535244.319,1321.233,0.016,0.018,0,
1067,1,stake,76,681238.39,3535244.439,1321.146,0.016,0.016,0,
1068,1,stake,77,681244.686,3535244.516,1321.137,0.015,0.017,0,
1070,2,corner,1,681276.314,3535288.838,1320.339,0.021,0.021,0,
1082,2,corner,2,681326.092,3535290.31,1319.243,0.015,0.014,0,
1128,2,corner,3,681277.222,3535239.371,1320.736,0.013,0.016,0,
1138,2,corner,4,681326.621,3535240.938,1320.23,0.013,0.016,0,
1072,2,quadrat,11,681281.752,3535280.927,1320.117,0.015,0.015,0,
1075,2,quadrat,13,681295.58,3535281.189,1319.903,0.015,0.015,0,
1078,2,quadrat,15,681306.637,3535281.482,1319.654,0.015,0.015,0,
1081,2,quadrat,17,681318.837,3535281.82,1319.432,0.015,0.015,0,
1091,2,quadrat,31,681282.295,3535268.371,1320.19,0.015,0.014,0,
1094,2,quadrat,33,681294.458,3535269.044,1319.916,0.014,0.014,0,
1097,2,quadrat,35,681307.027,3535269.763,1319.597,0.015,0.015,0,
1100,2,quadrat,37,681319.685,3535270.739,1319.44,0.015,0.015,0,
1109,2,quadrat,51,681282.507,3535255.763,1320.508,0.015,0.016,0,
1112,2,quadrat,53,681294.656,3535256.132,1319.963,0.015,0.015,0,
1115,2,quadrat,55,681307.053,3535256.37,1319.764,0.016,0.018,0,
1118,2,quadrat,57,681319.923,3535256.98,1319.971,0.015,0.017,0,
1127,2,quadrat,71,681281.796,3535243.307,1320.57,0.016,0.019,0,
1131,2,quadrat,73,681295.08,3535243.549,1320.168,0.013,0.015,0,
1134,2,quadrat,75,681307.093,3535244.052,1320.26,0.013,0.015,0,
1137,2,quadrat,77,681319.615,3535244.259,1320.208,0.015,0.018,0,
1071,2,stake,11,681282.383,3535282.931,1320.172,0.015,0.014,0,
1073,2,stake,12,681288.653,3535283.029,1320.111,0.015,0.014,0,
1074,2,stake,13,681294.84,3535283.392,1319.929,0.015,0.014,0,
1076,2,stake,14,681301,3535283.438,1319.896,0.015,0.014,0,
1077,2,stake,15,681307.233,3535283.499,1319.616,0.014,0.014,0,
1079,2,stake,16,681313.302,3535283.663,1319.54,0.016,0.016,0,
1080,2,stake,17,681319.771,3535283.868,1319.416,0.015,0.015,0,
1089,2,stake,21,681282.483,3535276.6,1320.116,0.013,0.013,0,
1088,2,stake,22,681288.739,3535276.854,1319.981,0.016,0.015,0,
1087,2,stake,23,681294.971,3535277.006,1319.815,0.014,0.014,0,
1086,2,stake,24,681301.169,3535277.16,1319.686,0.014,0.013,0,
1085,2,stake,25,681307.474,3535277.201,1319.612,0.014,0.014,0,
1084,2,stake,26,681313.751,3535277.325,1319.479,0.015,0.015,0,
1083,2,stake,27,681320.188,3535277.513,1319.392,0.015,0.014,0,
1090,2,stake,31,681282.74,3535270.372,1320.161,0.013,0.014,0,
1092,2,stake,32,681288.897,3535270.63,1320.079,0.015,0.014,0,
1093,2,stake,33,681294.945,3535271.105,1319.904,0.015,0.015,0,
1095,2,stake,34,681301.497,3535271.386,1319.71,0.015,0.014,0,
1096,2,stake,35,681307.488,3535271.816,1319.663,0.015,0.015,0,
1098,2,stake,36,681313.684,3535272.025,1319.525,0.014,0.014,0,
1099,2,stake,37,681320.142,3535272.214,1319.378,0.016,0.015,0,
1107,2,stake,41,681282.798,3535263.925,1320.322,0.016,0.017,0,
1106,2,stake,42,681289.081,3535264.276,1320.131,0.017,0.018,0,
1105,2,stake,43,681295.225,3535264.769,1319.933,0.016,0.016,0,
1104,2,stake,44,681301.632,3535264.143,1319.695,0.015,0.015,0,
1103,2,stake,45,681307.428,3535263.914,1319.648,0.017,0.017,0,
1102,2,stake,46,681313.936,3535264.884,1319.517,0.018,0.018,0,
1101,2,stake,47,681320.378,3535265.086,1319.397,0.017,0.017,0,
1108,2,stake,51,681282.945,3535257.878,1320.442,0.017,0.018,0,
1110,2,stake,52,681289.107,3535258.095,1320.178,0.017,0.018,0,
1111,2,stake,53,681295.136,3535258.281,1319.905,0.015,0.016,0,
1113,2,stake,54,681301.212,3535258.449,1319.817,0.016,0.016,0,
1114,2,stake,55,681307.359,3535258.498,1319.697,0.015,0.016,0,
1116,2,stake,56,681313.721,3535258.829,1319.599,0.016,0.018,0,
1117,2,stake,57,681320.355,3535259.102,1319.808,0.016,0.017,0,
1125,2,stake,61,681283.006,3535251.574,1320.41,0.015,0.018,0,
1124,2,stake,62,681289.264,3535251.601,1320.142,0.014,0.017,0,
1123,2,stake,63,681295.436,3535251.847,1319.997,0.014,0.016,0,
1122,2,stake,64,681301.431,3535252.109,1320.011,0.016,0.018,0,
1121,2,stake,65,681307.858,3535252.425,1319.804,0.015,0.018,0,
1120,2,stake,66,681313.937,3535252.562,1320.004,0.015,0.017,0,
1119,2,stake,67,681320.572,3535252.634,1320.019,0.015,0.017,0,
1126,2,stake,71,681283.161,3535245.256,1320.577,0.014,0.016,0,
1129,2,stake,72,681289.665,3535245.266,1320.246,0.014,0.016,0,
1130,2,stake,73,681295.364,3535245.413,1320.073,0.014,0.017,0,
1132,2,stake,74,681301.634,3535245.835,1319.973,0.015,0.018,0,
1133,2,stake,75,681307.824,3535246.046,1320.185,0.015,0.018,0,
1135,2,stake,76,681314.023,3535246.039,1320.187,0.013,0.016,0,
1136,2,stake,77,681320.474,3535246.3,1320.081,0.013,0.015,0,
1139,3,corner,1,681350.124,3535290.873,1318.882,0.012,0.014,0,
1151,3,corner,2,681400.203,3535292.894,1318.3,0.014,0.016,0,
1197,3,corner,3,681351.729,3535240.772,1319.605,0.014,0.019,0,
1207,3,corner,4,681401.704,3535242.84,1318.78,0.014,0.02,0,
1141,3,quadrat,11,681355.831,3535282.947,1318.611,0.012,0.015,0,
1144,3,quadrat,13,681368.328,3535283.443,1318.68,0.014,0.017,0,
1147,3,quadrat,15,681381.213,3535284.27,1318.652,0.014,0.016,0,
1150,3,quadrat,17,681393.76,3535284.94,1318.437,0.014,0.017,0,
1160,3,quadrat,31,681356.384,3535270.844,1319.228,0.015,0.019,0,
1163,3,quadrat,33,681368.591,3535271.535,1319.083,0.015,0.019,0,
1166,3,quadrat,35,681381.368,3535271.83,1318.879,0.015,0.02,0,
1169,3,quadrat,37,681394.238,3535272.091,1318.612,0.014,0.018,0,
1178,3,quadrat,51,681356.693,3535258.787,1319.426,0.014,0.018,0,
1181,3,quadrat,53,681368.814,3535259.323,1319.18,0.015,0.019,0,
1184,3,quadrat,55,681381.733,3535260.034,1318.934,0.014,0.019,0,
1187,3,quadrat,57,681394.177,3535260.379,1318.727,0.014,0.019,0,
1196,3,quadrat,71,681357.009,3535245.434,1319.45,0.014,0.019,0,
1200,3,quadrat,73,681369.443,3535245.921,1319.248,0.014,0.02,0,
1203,3,quadrat,75,681381.966,3535246.47,1319.035,0.015,0.023,0,
1206,3,quadrat,77,681394.739,3535247.082,1318.874,0.015,0.022,0,
1140,3,stake,11,681356.481,3535285.004,1318.679,0.013,0.016,0,
1142,3,stake,12,681362.693,3535285.172,1318.527,0.012,0.015,0,
1143,3,stake,13,681368.743,3535285.446,1318.61,0.013,0.016,0,
1145,3,stake,14,681375.047,3535285.925,1318.634,0.013,0.016,0,
1146,3,stake,15,681381.567,3535286.302,1318.612,0.013,0.016,0,
1148,3,stake,16,681387.47,3535286.477,1318.538,0.015,0.018,0,
1149,3,stake,17,681394.341,3535286.908,1318.422,0.014,0.018,0,
1158,3,stake,21,681356.387,3535279.118,1318.729,0.014,0.017,0,
1157,3,stake,22,681362.763,3535279.346,1318.87,0.014,0.017,0,
1156,3,stake,23,681368.726,3535280.63,1318.916,0.014,0.017,0,
1155,3,stake,24,681375.168,3535279.916,1318.816,0.013,0.015,0,
1154,3,stake,25,681381.731,3535279.948,1318.731,0.013,0.016,0,
1153,3,stake,26,681387.271,3535280.425,1318.645,0.014,0.016,0,
1152,3,stake,27,681394.178,3535280.41,1318.491,0.014,0.016,0,
1159,3,stake,31,681356.749,3535272.744,1319.157,0.014,0.018,0,
1161,3,stake,32,681363.257,3535273.125,1319.145,0.015,0.018,0,
1162,3,stake,33,681368.994,3535273.542,1319.049,0.015,0.019,0,
1164,3,stake,34,681375.375,3535273.834,1318.92,0.014,0.017,0,
1165,3,stake,35,681381.618,3535273.73,1318.874,0.014,0.018,0,
1167,3,stake,36,681387.977,3535274.163,1318.754,0.014,0.018,0,
1168,3,stake,37,681394.905,3535274.251,1318.576,0.015,0.018,0,
1176,3,stake,41,681356.997,3535266.628,1319.3,0.015,0.02,0,
1175,3,stake,42,681363.271,3535266.849,1319.21,0.013,0.017,0,
1174,3,stake,43,681369.564,3535267.089,1319.112,0.014,0.018,0,
1173,3,stake,44,681375.85,3535267.436,1319.028,0.014,0.018,0,
1172,3,stake,45,681382.155,3535267.596,1318.929,0.014,0.019,0,
1171,3,stake,46,681388.563,3535267.831,1318.787,0.015,0.019,0,
1170,3,stake,47,681394.977,3535268.227,1318.655,0.014,0.019,0,
1177,3,stake,51,681357.08,3535260.788,1319.424,0.015,0.02,0,
1179,3,stake,52,681363.302,3535261.027,1319.331,0.014,0.018,0,
1180,3,stake,53,681369.228,3535261.322,1319.153,0.014,0.019,0,
1182,3,stake,54,681375.618,3535261.661,1319.05,0.014,0.018,0,
1183,3,stake,55,681382.391,3535262.009,1318.932,0.014,0.019,0,
1185,3,stake,56,681388.25,3535262.196,1318.81,0.014,0.019,0,
1186,3,stake,57,681394.635,3535262.485,1318.714,0.015,0.019,0,
1194,3,stake,61,681357.327,3535253.818,1319.405,0.015,0.021,0,
1193,3,stake,62,681363.478,3535254.145,1319.305,0.014,0.02,0,
1192,3,stake,63,681369.626,3535254.508,1319.239,0.014,0.02,0,
1191,3,stake,64,681376.021,3535254.446,1319.128,0.015,0.02,0,
1190,3,stake,65,681382.426,3535254.707,1319.011,0.013,0.018,0,
1189,3,stake,66,681388.559,3535255.323,1318.887,0.014,0.019,0,
1188,3,stake,67,681395.043,3535255.542,1318.817,0.014,0.019,0,
1195,3,stake,71,681357.587,3535247.449,1319.463,0.015,0.021,0,
1198,3,stake,72,681363.772,3535247.918,1319.342,0.015,0.022,0,
1199,3,stake,73,681369.896,3535247.996,1319.24,0.014,0.02,0,
1201,3,stake,74,681376.105,3535248.191,1319.141,0.014,0.02,0,
1202,3,stake,75,681382.644,3535248.39,1319.003,0.015,0.022,0,
1204,3,stake,76,681388.716,3535248.903,1318.938,0.016,0.022,0,
1205,3,stake,77,681395.156,3535249.083,1318.886,0.015,0.022,0,
1208,4,corner,1,681425.566,3535293.426,1317.868,0.014,0.022,0,
1220,4,corner,2,681475.904,3535293.837,1317.108,0.015,0.025,0,
1267,4,corner,3,681427.736,3535243.38,1318.388,0.014,0.02,0,
1276,4,corner,4,681477.528,3535244.743,1317.291,0.014,0.021,0,
1210,4,quadrat,11,681431.496,3535285.58,1317.88,0.013,0.02,0,
1213,4,quadrat,13,681443.978,3535285.938,1317.716,0.014,0.022,0,
1216,4,quadrat,15,681456.509,3535286.103,1317.517,0.015,0.024,0,
1219,4,quadrat,17,681469.64,3535286.59,1317.331,0.015,0.023,0,
1229,4,quadrat,31,681433.062,3535272.752,1318.014,0.014,0.022,0,
1232,4,quadrat,33,681444.162,3535273.284,1317.877,0.013,0.021,0,
1235,4,quadrat,35,681456.814,3535273.758,1317.666,0.013,0.02,0,
1238,4,quadrat,37,681468.873,3535273.011,1317.417,0.014,0.023,0,
1247,4,quadrat,51,681432.412,3535260.196,1318.175,0.015,0.022,0,
1250,4,quadrat,53,681444.936,3535260.453,1318.017,0.015,0.024,0,
1253,4,quadrat,55,681457.5,3535260.69,1317.744,0.014,0.021,0,
1256,4,quadrat,57,681470.306,3535261.257,1317.486,0.014,0.021,0,
1265,4,quadrat,71,681432.907,3535247.869,1318.278,0.014,0.02,0,
1269,4,quadrat,73,681445.175,3535247.872,1318.113,0.015,0.021,0,
1272,4,quadrat,75,681458.088,3535248.423,1317.768,0.013,0.019,0,
1275,4,quadrat,77,681470.55,3535248.842,1317.507,0.014,0.02,0,
1209,4,stake,11,681431.93,3535287.657,1317.846,0.014,0.021,0,
1211,4,stake,12,681438.221,3535287.808,1317.744,0.014,0.021,0,
1212,4,stake,13,681444.541,3535287.926,1317.695,0.015,0.024,0,
1214,4,stake,14,681450.726,3535287.943,1317.575,0.015,0.024,0,
1215,4,stake,15,681457.112,3535288.116,1317.504,0.014,0.023,0,
1217,4,stake,16,681463.088,3535288.421,1317.407,0.015,0.023,0,
1218,4,stake,17,681469.813,3535288.502,1317.309,0.014,0.022,0,
1227,4,stake,21,681432.148,3535280.841,1317.912,0.014,0.023,0,
1226,4,stake,22,681438.41,3535281.105,1317.819,0.014,0.022,0,
1225,4,stake,23,681444.663,3535281.206,1317.749,0.014,0.022,0,
1224,4,stake,24,681450.84,3535281.288,1317.672,0.015,0.022,0,
1223,4,stake,25,681457.324,3535281.577,1317.564,0.014,0.02,0,
1222,4,stake,26,681463.314,3535281.593,1317.492,0.015,0.023,0,
1221,4,stake,27,681470.069,3535281.883,1317.345,0.014,0.022,0,
1228,4,stake,31,681432.461,3535274.75,1317.973,0.013,0.022,0,
1230,4,stake,32,681438.556,3535274.931,1317.975,0.014,0.022,0,
1231,4,stake,33,681444.699,3535275.296,1317.84,0.013,0.021,0,
1233,4,stake,34,681450.834,3535275.568,1317.727,0.013,0.021,0,
1234,4,stake,35,681457.337,3535275.761,1317.643,0.014,0.022,0,
1236,4,stake,36,681463.416,3535275.871,1317.518,0.014,0.022,0,
1237,4,stake,37,681470.13,3535275.988,1317.532,0.014,0.022,0,
1245,4,stake,41,681432.374,3535268.447,1318.091,0.014,0.022,0,
1244,4,stake,42,681438.723,3535268.488,1318.026,0.015,0.023,0,
1243,4,stake,43,681444.931,3535268.816,1317.917,0.014,0.021,0,
1242,4,stake,44,681451.187,3535268.983,1317.829,0.013,0.02,0,
1241,4,stake,45,681457.735,3535269.125,1317.71,0.014,0.022,0,
1240,4,stake,46,681463.819,3535269.264,1317.566,0.013,0.021,0,
1239,4,stake,47,681470.489,3535269.438,1317.463,0.014,0.021,0,
1246,4,stake,51,681432.771,3535262.237,1318.143,0.014,0.022,0,
1248,4,stake,52,681438.907,3535262.433,1318.059,0.015,0.022,0,
1249,4,stake,53,681445.12,3535262.611,1317.955,0.013,0.021,0,
1251,4,stake,54,681451.317,3535262.651,1317.827,0.014,0.021,0,
1252,4,stake,55,681457.832,3535262.776,1317.73,0.014,0.021,0,
1254,4,stake,56,681463.976,3535263.124,1317.609,0.013,0.019,0,
1255,4,stake,57,681471.095,3535263.246,1317.474,0.014,0.021,0,
1263,4,stake,61,681432.95,3535256.012,1318.216,0.014,0.019,0,
1262,4,stake,62,681439.269,3535256.099,1318.082,0.014,0.019,0,
1261,4,stake,63,681445.447,3535256.231,1317.972,0.014,0.02,0,
1260,4,stake,64,681451.682,3535256.398,1317.861,0.014,0.02,0,
1259,4,stake,65,681458.185,3535256.555,1317.754,0.013,0.02,0,
1258,4,stake,66,681464.856,3535256.388,1317.709,0.013,0.02,0,
1257,4,stake,67,681471.196,3535257.042,1317.481,0.014,0.02,0,
1264,4,stake,71,681433.408,3535249.921,1318.23,0.013,0.019,0,
1266,4,stake,72,681439.501,3535249.971,1318.17,0.014,0.019,0,
1268,4,stake,73,681445.602,3535249.983,1318.095,0.015,0.021,0,
1270,4,stake,74,681451.799,3535250.186,1317.924,0.014,0.02,0,
1271,4,stake,75,681458.373,3535250.487,1317.783,0.014,0.02,0,
1273,4,stake,76,681464.291,3535250.685,1317.609,0.014,0.02,0,
1274,4,stake,77,681471.263,3535250.836,1317.518,0.014,0.02,0,
1277,5,corner,1,681501.827,3535302.055,1316.672,0.014,0.02,0,
1289,5,corner,2,681551.663,3535304.086,1315.869,0.015,0.021,0,
1335,5,corner,3,681503.118,3535252.196,1316.939,0.015,0.019,0,
1345,5,corner,4,681552.693,3535254.59,1315.852,0.014,0.019,0,
1279,5,quadrat,11,681507.324,3535294.564,1316.589,0.014,0.02,0,
1282,5,quadrat,13,681519.667,3535295.23,1316.397,0.014,0.02,0,
1285,5,quadrat,15,681532.351,3535295.771,1316.208,0.014,0.02,0,
1288,5,quadrat,17,681545.2,3535296.127,1315.992,0.014,0.02,0,
1298,5,quadrat,31,681507.783,3535281.915,1316.662,0.015,0.021,0,
1301,5,quadrat,33,681520.189,3535282.229,1316.511,0.015,0.02,0,
1304,5,quadrat,35,681532.863,3535282.999,1316.281,0.014,0.02,0,
1307,5,quadrat,37,681545.794,3535283.422,1315.946,0.014,0.02,0,
1316,5,quadrat,51,681507.892,3535268.965,1316.749,0.014,0.02,0,
1319,5,quadrat,53,681520.075,3535269.567,1316.508,0.014,0.02,0,
1322,5,quadrat,55,681533.023,3535270.159,1316.207,0.014,0.019,0,
1325,5,quadrat,57,681545.301,3535271.156,1315.896,0.015,0.02,0,
1334,5,quadrat,71,681508.395,3535256.624,1316.754,0.015,0.019,0,
1338,5,quadrat,73,681520.577,3535257.121,1316.451,0.014,0.019,0,
1341,5,quadrat,75,681533.257,3535257.484,1316.137,0.015,0.019,0,
1344,5,quadrat,77,681546.026,3535258.26,1315.906,0.015,0.018,0,
1278,5,stake,11,681507.856,3535296.705,1316.601,0.015,0.021,0,
1280,5,stake,12,681514.024,3535296.887,1316.48,0.014,0.02,0,
1281,5,stake,13,681520.199,3535297.193,1316.39,0.015,0.021,0,
1283,5,stake,14,681526.517,3535297.442,1316.267,0.014,0.02,0,
1284,5,stake,15,681533.006,3535297.791,1316.197,0.014,0.021,0,
1286,5,stake,16,681538.955,3535298.178,1316.121,0.014,0.021,0,
1287,5,stake,17,681545.857,3535298.213,1315.965,0.014,0.02,0,
1296,5,stake,21,681507.906,3535289.743,1316.639,0.015,0.021,0,
1295,5,stake,22,681514.155,3535290.054,1316.538,0.015,0.021,0,
1294,5,stake,23,681520.41,3535290.437,1316.456,0.014,0.02,0,
1293,5,stake,24,681526.619,3535290.708,1316.369,0.015,0.021,0,
1292,5,stake,25,681533.109,3535291.053,1316.265,0.013,0.018,0,
1291,5,stake,26,681539.246,3535291.348,1316.189,0.014,0.02,0,
1290,5,stake,27,681546.025,3535291.744,1316.024,0.014,0.02,0,
1297,5,stake,31,681508.134,3535283.894,1316.681,0.014,0.02,0,
1299,5,stake,32,681514.39,3535283.933,1316.615,0.014,0.02,0,
1300,5,stake,33,681520.525,3535284.243,1316.559,0.014,0.019,0,
1302,5,stake,34,681526.763,3535284.508,1316.456,0.014,0.021,0,
1303,5,stake,35,681533.405,3535285.087,1316.288,0.014,0.02,0,
1305,5,stake,36,681539.282,3535285.038,1316.15,0.014,0.02,0,
1306,5,stake,37,681546.078,3535285.424,1315.986,0.015,0.022,0,
1314,5,stake,41,681508.263,3535277.465,1316.74,0.015,0.02,0,
1313,5,stake,42,681514.452,3535277.643,1316.615,0.015,0.019,0,
1312,5,stake,43,681520.701,3535277.829,1316.487,0.015,0.02,0,
1311,5,stake,44,681526.895,3535278.252,1316.317,0.015,0.021,0,
1310,5,stake,45,681533.369,3535278.413,1316.155,0.014,0.02,0,
1309,5,stake,46,681539.479,3535278.684,1316.003,0.015,0.021,0,
1308,5,stake,47,681546.477,3535279.19,1315.87,0.015,0.019,0,
1315,5,stake,51,681508.441,3535271.051,1316.722,0.014,0.02,0,
1317,5,stake,52,681514.625,3535271.281,1316.632,0.014,0.02,0,
1318,5,stake,53,681520.782,3535271.617,1316.481,0.014,0.021,0,
1320,5,stake,54,681527.136,3535272.278,1316.319,0.015,0.021,0,
1321,5,stake,55,681533.433,3535272.289,1316.179,0.015,0.02,0,
1323,5,stake,56,681539.499,3535272.379,1316.05,0.014,0.019,0,
1324,5,stake,57,681546.357,3535272.758,1315.854,0.015,0.02,0,
1332,5,stake,61,681508.548,3535264.898,1316.757,0.014,0.018,0,
1331,5,stake,62,681514.77,3535265.165,1316.64,0.015,0.019,0,
1330,5,stake,63,681520.978,3535265.36,1316.48,0.015,0.019,0,
1329,5,stake,64,681527.228,3535265.546,1316.311,0.015,0.019,0,
1328,5,stake,65,681533.624,3535265.934,1316.207,0.016,0.021,0,
1327,5,stake,66,681539.674,3535266.199,1316.068,0.014,0.018,0,
1326,5,stake,67,681546.562,3535266.35,1315.897,0.015,0.019,0,
1333,5,stake,71,681508.632,3535258.682,1316.77,0.015,0.018,0,
1336,5,stake,72,681514.83,3535258.881,1316.649,0.015,0.019,0,
1337,5,stake,73,681520.967,3535259.28,1316.439,0.014,0.018,0,
1339,5,stake,74,681527.388,3535259.421,1316.305,0.014,0.017,0,
1340,5,stake,75,681533.81,3535259.599,1316.174,0.014,0.017,0,
1342,5,stake,76,681539.909,3535260.021,1316.008,0.015,0.018,0,
1343,5,stake,77,681546.502,3535260.344,1315.9,0.014,0.018,0,
1346,6,corner,1,681576.928,3535314.755,1315.222,0.01,0.014,0,
1358,6,corner,2,681626.838,3535316.739,1314.258,0.015,0.019,0,
1414,6,corner,3,681576.976,3535264.947,1315.413,0.085,0.103,0,
1413,6,corner,4,681626.965,3535266.884,1314.415,0.014,0.02,0,
1348,6,quadrat,11,681582.407,3535307.448,1315.053,0.015,0.022,0,
1351,6,quadrat,13,681594.879,3535307.743,1314.844,0.015,0.021,0,
1354,6,quadrat,15,681607.57,3535308.167,1314.63,0.015,0.021,0,
1357,6,quadrat,17,681620.553,3535308.354,1314.397,0.014,0.02,0,
1367,6,quadrat,31,681582.747,3535294.68,1315.206,0.014,0.019,0,
1370,6,quadrat,33,681594.882,3535294.937,1314.962,0.013,0.018,0,
1373,6,quadrat,35,681607.577,3535295.234,1314.709,0.014,0.018,0,
1376,6,quadrat,37,681620.439,3535295.706,1314.388,0.014,0.02,0,
1385,6,quadrat,51,681582.679,3535281.503,1315.126,0.013,0.019,0,
1388,6,quadrat,53,681594.753,3535281.774,1314.924,0.012,0.016,0,
1391,6,quadrat,55,681607.309,3535282.482,1314.72,0.014,0.019,0,
1394,6,quadrat,57,681620.613,3535283.138,1314.412,0.014,0.019,0,
1403,6,quadrat,71,681582.194,3535269.035,1315.21,0.014,0.02,0,
1406,6,quadrat,73,681594.969,3535269.571,1314.898,0.013,0.019,0,
1409,6,quadrat,75,681607.269,3535270.479,1314.721,0.013,0.018,0,
1412,6,quadrat,77,681619.569,3535270.071,1314.662,0.012,0.018,0,
1347,6,stake,11,681583.155,3535309.429,1315.019,0.014,0.021,0,
1349,6,stake,12,681589.235,3535309.588,1314.945,0.014,0.02,0,
1350,6,stake,13,681595.529,3535309.77,1314.83,0.014,0.019,0,
1352,6,stake,14,681601.719,3535310.049,1314.667,0.014,0.019,0,
1353,6,stake,15,681608.232,3535310.213,1314.593,0.015,0.021,0,
1355,6,stake,16,681614.328,3535310.358,1314.45,0.015,0.021,0,
