day,month,year,plot,stake,species,colonies,openings,flag
13,7,1977,1,,myrm mexi,1,1,1
13,7,1977,1,,myrm mimi,1,1,1
13,7,1977,1,11,irid prui,1,1,
13,7,1977,1,11,pogo rugo,1,1,3
13,7,1977,1,11,sole xylo,1,,7
13,7,1977,1,12,phei xero,3,3,
13,7,1977,1,12,pogo dese,1,1,
13,7,1977,1,12,sole xylo,1,,7
13,7,1977,1,13,novo cock,1,1,3
13,7,1977,1,13,sole xylo,1,,7
13,7,1977,1,14,myrm mimi,1,1,
13,7,1977,1,14,pogo dese,1,1,
13,7,1977,1,14,sole xylo,1,,7
13,7,1977,1,15,myrm mexi,1,1,3
13,7,1977,1,15,sole xylo,1,,7
13,7,1977,1,16,pogo dese,1,1,
13,7,1977,1,16,sole xylo,1,,7
13,7,1977,1,17,phei sita,3,3,
13,7,1977,1,17,phei xero,2,2,
13,7,1977,1,17,pogo dese,1,1,
13,7,1977,1,17,sole xylo,1,,7
13,7,1977,1,21,cono insa,1,1,
13,7,1977,1,21,phei xero,1,1,
13,7,1977,1,21,pogo dese,1,1,
13,7,1977,1,21,sole xylo,1,,7
13,7,1977,1,22,phei xero,3,4,
13,7,1977,1,22,pogo dese,1,1,
13,7,1977,1,23,pogo dese,1,1,
13,7,1977,1,23,sole xylo,1,,7
13,7,1977,1,24,cono insa,1,1,
13,7,1977,1,24,pogo dese,1,1,
13,7,1977,1,24,sole xylo,1,,7
13,7,1977,1,25,cono insa,4,4,
13,7,1977,1,25,sole xylo,1,,7
13,7,1977,1,26,cono insa,1,1,
13,7,1977,1,26,novo cock,1,1,3
13,7,1977,1,26,phei sita,1,1,
13,7,1977,1,26,phei xero,2,7,
13,7,1977,1,26,pogo dese,1,1,
13,7,1977,1,26,sole xylo,1,,7
13,7,1977,1,27,phei sita,2,2,
13,7,1977,1,27,pogo dese,2,2,
13,7,1977,1,31,pogo dese,1,1,
13,7,1977,1,31,sole xylo,1,,7
13,7,1977,1,32,cono insa,1,1,
13,7,1977,1,32,phei dese,1,1,
13,7,1977,1,32,phei xero,3,4,
13,7,1977,1,32,pogo dese,1,1,
13,7,1977,1,32,sole xylo,1,,7
13,7,1977,1,33,pogo pima,1,1,
13,7,1977,1,33,sole xylo,1,,7
13,7,1977,1,34,cono insa,2,2,
13,7,1977,1,34,phei xero,1,1,
13,7,1977,1,34,pogo dese,2,2,
13,7,1977,1,34,sole xylo,1,,7
13,7,1977,1,35,cono insa,1,1,
13,7,1977,1,35,myrm mexi,1,1,
13,7,1977,1,35,pogo dese,2,2,
13,7,1977,1,35,sole xylo,1,,7
13,7,1977,1,36,cono insa,1,1,
13,7,1977,1,36,pogo dese,2,2,
13,7,1977,1,36,sole xylo,1,,7
13,7,1977,1,37,pogo dese,2,2,
13,7,1977,1,37,sole xylo,1,,7
13,7,1977,1,41,pogo dese,2,2,
13,7,1977,1,42,pogo dese,3,3,
13,7,1977,1,43,pogo dese,1,1,
13,7,1977,1,43,sole xylo,1,,7
13,7,1977,1,44,pogo dese,1,1,
13,7,1977,1,45,irid prui,1,1,
13,7,1977,1,45,sole xylo,1,,7
13,7,1977,1,46,myrm mimi,1,1,
13,7,1977,1,46,phei xero,1,2,
13,7,1977,1,46,pogo dese,1,1,
13,7,1977,1,46,sole xylo,1,,7
13,7,1977,1,47,irid prui,1,2,
13,7,1977,1,47,sole xylo,1,,7
13,7,1977,1,51,pogo dese,1,1,
13,7,1977,1,52,phei xero,1,1,
13,7,1977,1,52,sole xylo,1,,7
13,7,1977,1,53,sole xylo,1,,7
13,7,1977,1,54,sole xylo,1,,7
13,7,1977,1,55,sole xylo,1,,7
13,7,1977,1,56,sole xylo,1,,7
13,7,1977,1,57,pogo dese,1,1,
13,7,1977,1,57,sole xylo,1,,7
13,7,1977,1,61,phei xero,1,1,
13,7,1977,1,61,pogo dese,2,2,
13,7,1977,1,61,sole xylo,1,,7
13,7,1977,1,62,phei xero,2,3,
13,7,1977,1,62,pogo dese,1,1,
13,7,1977,1,62,sole xylo,1,,7
13,7,1977,1,63,phei xero,1,1,
13,7,1977,1,63,pogo dese,1,1,
13,7,1977,1,63,sole xylo,1,,7
13,7,1977,1,64,sole xylo,1,,7
13,7,1977,1,65,phei xero,1,1,
13,7,1977,1,65,sole xylo,1,,7
13,7,1977,1,66,pogo dese,2,2,
13,7,1977,1,66,sole xylo,1,,7
13,7,1977,1,67,pogo dese,1,1,
13,7,1977,1,67,sole xylo,1,,7
13,7,1977,1,71,phei xero,2,2,
13,7,1977,1,71,sole xylo,1,,7
13,7,1977,1,72,irid prui,1,1,
13,7,1977,1,72,pogo dese,1,1,
13,7,1977,1,72,sole xylo,1,,7
13,7,1977,1,73,cono insa,1,1,
13,7,1977,1,73,sole xylo,1,,7
13,7,1977,1,74,irid prui,1,1,
13,7,1977,1,74,phei xero,1,1,
13,7,1977,1,74,sole xylo,1,,7
13,7,1977,1,75,cono insa,1,1,
13,7,1977,1,75,pogo dese,1,1,
13,7,1977,1,75,sole xylo,1,,7
13,7,1977,1,76,cono insa,1,1,
13,7,1977,1,76,phei dese,1,1,
13,7,1977,1,76,phei sita,1,1,
13,7,1977,1,76,sole xylo,1,,7
13,7,1977,1,77,cono insa,3,3,
13,7,1977,1,77,phei xero,1,1,
13,7,1977,1,77,pogo pima,1,1,
13,7,1977,1,77,sole xylo,1,,7
13,7,1977,2,11,phei dese,1,1,
13,7,1977,2,11,phei xero,1,1,
13,7,1977,2,11,pogo dese,1,1,
13,7,1977,2,11,sole xylo,1,,7
13,7,1977,2,12,pogo dese,1,1,
13,7,1977,2,12,sole xylo,1,,7
13,7,1977,2,13,phei xero,1,1,
13,7,1977,2,13,sole xylo,1,,7
13,7,1977,2,14,pogo dese,1,1,
13,7,1977,2,14,sole xylo,1,,7
13,7,1977,2,15,sole xylo,1,,7
13,7,1977,2,16,myrm mimi,1,1,3
13,7,1977,2,17,phei xero,1,2,
13,7,1977,2,21,sole xylo,1,,7
13,7,1977,2,22,phei sita,1,1,
13,7,1977,2,22,pogo dese,1,1,
13,7,1977,2,22,sole xylo,1,,7
13,7,1977,2,23,pogo dese,2,2,
13,7,1977,2,23,sole xylo,1,,7
13,7,1977,2,24,myrm mexi,1,1,
13,7,1977,2,24,sole xylo,1,,7
13,7,1977,2,25,sole xylo,1,,7
13,7,1977,2,26,phei xero,1,1,
13,7,1977,2,26,pogo dese,1,1,
13,7,1977,2,26,sole xylo,1,,7
13,7,1977,2,27,phei xero,1,2,
13,7,1977,2,27,sole xylo,1,,7
13,7,1977,2,31,cono insa,1,1,
13,7,1977,2,31,sole xylo,1,,7
13,7,1977,2,32,sole xylo,1,,7
13,7,1977,2,33,phei dese,1,1,
13,7,1977,2,33,phei sita,1,1,
13,7,1977,2,33,sole xylo,1,,7
13,7,1977,2,34,pogo dese,3,3,
13,7,1977,2,34,sole xylo,1,,7
13,7,1977,2,35,novo cock,1,2,3
13,7,1977,2,35,phei sita,1,1,
13,7,1977,2,35,phei xero,1,1,
13,7,1977,2,35,sole xylo,1,,7
13,7,1977,2,36,phei xero,1,2,
13,7,1977,2,36,sole xylo,1,,7
13,7,1977,2,37,cono bico,1,1,
13,7,1977,2,37,pogo dese,1,1,
13,7,1977,2,37,sole xylo,1,,7
13,7,1977,2,41,sole xylo,1,,7
13,7,1977,2,42,sole xylo,1,,7
13,7,1977,2,43,phei xero,1,1,
13,7,1977,2,43,sole xylo,1,,7
13,7,1977,2,44,sole xylo,1,,7
13,7,1977,2,45,sole xylo,1,,7
13,7,1977,2,46,phei sita,1,1,
13,7,1977,2,46,pogo dese,2,2,
13,7,1977,2,46,sole xylo,1,,7
13,7,1977,2,47,sole xylo,1,,7
13,7,1977,2,51,phei xero,1,2,
13,7,1977,2,51,sole xylo,1,,7
13,7,1977,2,52,myrm mimi,1,1,3
13,7,1977,2,52,pogo dese,1,1,
13,7,1977,2,53,irid prui,1,1,
13,7,1977,2,53,phei xero,1,1,
13,7,1977,2,53,pogo dese,1,1,
13,7,1977,2,53,sole xylo,1,,7
13,7,1977,2,54,sole xylo,1,,7
13,7,1977,2,55,phei xero,1,4,
13,7,1977,2,55,pogo dese,1,1,
13,7,1977,2,55,pogo rugo,1,1,
13,7,1977,2,55,sole xylo,1,,7
13,7,1977,2,56,pogo dese,1,1,
13,7,1977,2,56,sole xylo,1,,7
13,7,1977,2,57,myrm mexi,1,1,
13,7,1977,2,57,phei sita,2,4,
13,7,1977,2,57,phei xero,2,5,
13,7,1977,2,57,pogo dese,2,2,
13,7,1977,2,61,phei dese,1,1,
13,7,1977,2,61,phei sita,1,1,
13,7,1977,2,61,phei xero,2,3,
13,7,1977,2,61,pogo dese,1,1,
13,7,1977,2,62,phei xero,1,1,
13,7,1977,2,62,sole xylo,1,,7
13,7,1977,2,63,cono bico,1,1,
13,7,1977,2,63,cono insa,1,1,
13,7,1977,2,63,pogo dese,1,1,
13,7,1977,2,63,sole xylo,1,,7
13,7,1977,2,64,pogo dese,1,1,
13,7,1977,2,64,sole xylo,1,,7
13,7,1977,2,65,sole xylo,1,,7
13,7,1977,2,66,phei sita,1,1,
13,7,1977,2,66,phei xero,2,4,
13,7,1977,2,66,pogo dese,1,1,
13,7,1977,2,66,sole xylo,1,,7
13,7,1977,2,67,phei sita,1,2,
13,7,1977,2,67,phei xero,1,1,
13,7,1977,2,67,pogo dese,1,1,
13,7,1977,2,71,sole xylo,1,,7
13,7,1977,2,72,sole xylo,1,,7
13,7,1977,2,73,cono insa,1,1,
13,7,1977,2,73,sole xylo,1,,7
13,7,1977,2,74,sole xylo,1,,7
13,7,1977,2,75,phei xero,2,2,
13,7,1977,2,75,sole xylo,1,,7
13,7,1977,2,76,sole xylo,1,,7
13,7,1977,2,77,pogo dese,1,1,
14,7,1977,3,11,cono insa,1,1,
14,7,1977,3,11,phei xero,1,3,
14,7,1977,3,11,sole xylo,1,,7
14,7,1977,3,12,cono bico,1,1,
14,7,1977,3,12,phei xero,1,1,
14,7,1977,3,12,sole xylo,1,,7
14,7,1977,3,13,pogo dese,1,1,
14,7,1977,3,13,sole xylo,1,,7
14,7,1977,3,14,pogo dese,1,1,
14,7,1977,3,14,sole xylo,1,,7
14,7,1977,3,15,irid prui,1,1,
14,7,1977,3,15,pogo dese,1,1,
14,7,1977,3,15,sole xylo,1,,7
14,7,1977,3,16,phei dese,1,1,
14,7,1977,3,16,sole xylo,1,,7
14,7,1977,3,17,myrm mimi,1,1,3
14,7,1977,3,17,novo cock,1,1,
14,7,1977,3,17,sole xylo,1,,7
14,7,1977,3,21,myrm mimi,1,1,3
14,7,1977,3,21,sole xylo,1,,7
14,7,1977,3,22,phei xero,4,5,
14,7,1977,3,24,phei xero,1,4,
14,7,1977,3,24,sole xylo,1,,7
14,7,1977,3,25,myrm mexi,1,1,3
14,7,1977,3,25,phei sita,1,1,
14,7,1977,3,25,phei xero,1,1,
14,7,1977,3,25,sole xylo,1,,7
14,7,1977,3,26,pogo dese,1,1,
14,7,1977,3,26,sole xylo,1,,7
14,7,1977,3,27,sole xylo,1,,7
14,7,1977,3,31,sole xylo,1,,7
14,7,1977,3,32,phei sita,1,1,
14,7,1977,3,32,pogo dese,3,3,
14,7,1977,3,33,pogo dese,1,1,
14,7,1977,3,34,phei xero,1,1,
14,7,1977,3,34,pogo dese,1,1,
14,7,1977,3,34,sole xylo,1,,7
14,7,1977,3,35,phei xero,1,2,
14,7,1977,3,36,pogo dese,1,2,
14,7,1977,3,36,sole xylo,1,,7
14,7,1977,3,37,phei xero,1,3,
14,7,1977,3,37,sole xylo,1,,7
14,7,1977,3,41,novo cock,1,1,
14,7,1977,3,41,phei sita,1,1,
14,7,1977,3,41,pogo dese,2,3,
14,7,1977,3,41,sole xylo,1,,7
14,7,1977,3,42,phei xero,1,2,
14,7,1977,3,42,pogo dese,1,1,
14,7,1977,3,43,phei sita,1,1,
14,7,1977,3,43,phei xero,3,4,
14,7,1977,3,43,pogo dese,2,2,
14,7,1977,3,43,sole xylo,1,,7
