,date,NDVI
1,1983-01,0.14195
2,1983-02,NA
3,1983-03,NA
4,1983-04,NA
5,1983-05,NA
6,1983-06,NA
7,1983-07,NA
8,1983-08,NA
9,1983-09,NA
10,1983-10,NA
11,1983-11,NA
12,1983-12,NA
13,1984-01,NA
14,1984-02,NA
15,1984-03,NA
16,1984-04,0.188
17,1984-05,0.1683
18,1984-06,0.1639
19,1984-07,0.1682
20,1984-08,NA
21,1984-09,NA
22,1984-10,NA
23,1984-11,0.178
24,1984-12,0.179975
25,1985-01,NA
26,1985-02,NA
27,1985-03,NA
28,1985-04,0.20215
29,1985-05,NA
30,1985-06,NA
31,1985-07,0.172
32,1985-08,0.2197
33,1985-09,0.23245
34,1985-10,0.2175
35,1985-11,0.212
36,1985-12,0.1874
37,1986-01,0.1838
38,1986-02,0.1752
39,1986-03,0.1741
40,1986-04,0.1687
41,1986-05,0.16025
42,1986-06,0.155575
43,1986-07,0.17435
44,1986-08,0.1949
45,1986-09,0.2134
46,1986-10,0.2034
47,1986-11,0.1868
48,1986-12,0.1727
49,1987-01,0.1563
50,1987-02,0.1634
51,1987-03,0.1441
52,1987-04,0.2042
53,1987-05,0.2012
54,1987-06,0.1708
55,1987-07,0.1713
56,1987-08,0.25425
57,1987-09,0.2755
58,1987-10,0.2007
59,1987-11,NA
60,1987-12,NA
61,1988-01,NA
62,1988-02,0.139
63,1988-03,0.1526
64,1988-04,0.1755
65,1988-05,0.1545
66,1988-06,0.1546
67,1988-07,0.1924
68,1988-08,0.2937
69,1988-09,0.2733
70,1988-10,0.2144
71,1988-11,NA
72,1988-12,NA
73,1989-01,NA
74,1989-02,0.158
75,1989-03,NA
76,1989-04,0.1588
77,1989-05,0.15245
78,1989-06,0.1476
79,1989-07,0.14895
80,1989-08,0.3302
81,1989-09,0.2557
82,1989-10,0.225325
83,1989-11,NA
84,1989-12,NA
85,1990-01,NA
86,1990-02,NA
87,1990-03,0.1107
88,1990-04,0.12775
89,1990-05,0.1271
90,1990-06,0.1351
91,1990-07,0.1522
92,1990-08,0.3275
93,1990-09,0.2343
94,1990-10,0.1924
95,1990-11,NA
96,1990-12,NA
97,1991-01,NA
98,1991-02,NA
99,1991-03,0.1479
100,1991-04,0.172
101,1991-05,0.1646
102,1991-06,0.1501
103,1991-07,0.1696
104,1991-08,0.23075
105,1991-09,0.184
106,1991-10,0.18305
107,1991-11,NA
108,1991-12,NA
109,1992-01,NA
110,1992-02,NA
111,1992-03,0.181375
112,1992-04,0.2434
113,1992-05,0.2185
114,1992-06,0.2177
115,1992-07,0.2078
116,1992-08,0.22015
117,1992-09,0.2037
118,1992-10,0.1884
119,1992-11,0.16555
120,1992-12,0.0976
121,1993-01,0.149
122,1993-02,0.17265
123,1993-03,0.196
124,1993-04,0.1984
125,1993-05,0.1741
126,1993-06,0.16875
127,1993-07,0.1506
128,1993-08,0.161
129,1993-09,0.1938
130,1993-10,0.1685
131,1993-11,0.1522
132,1993-12,0.1408
133,1994-01,0.1327
134,1994-02,0.1242
135,1994-03,0.1345
136,1994-04,0.1288
137,1994-05,0.1322
138,1994-06,0.1287
139,1994-07,0.1308
140,1994-08,0.1327
141,1994-09,0.1601
142,1994-10,0.138
143,1994-11,0.1302
144,1994-12,0.1384
145,1995-01,0.1476
146,1995-02,0.2257
147,1995-03,0.335175
148,1995-04,0.27855
149,1995-05,0.206675
150,1995-06,0.1937
151,1995-07,0.2001
152,1995-08,0.1993
153,1995-09,0.2243
154,1995-10,0.2526
155,1995-11,0.2171
156,1995-12,0.19765
157,1996-01,0.1681
158,1996-02,0.1618
159,1996-03,0.15285
160,1996-04,0.147
161,1996-05,0.1412
162,1996-06,0.1556
163,1996-07,0.21985
164,1996-08,0.22245
165,1996-09,0.221075
166,1996-10,0.2105
167,1996-11,0.1582
168,1996-12,0.165
169,1997-01,0.1723
170,1997-02,0.1873
171,1997-03,0.1976
172,1997-04,0.1875
173,1997-05,0.1601
174,1997-06,0.1611
175,1997-07,0.15295
176,1997-08,0.21005
177,1997-09,0.18135
178,1997-10,0.16765
179,1997-11,0.1376
180,1997-12,0.1417
181,1998-01,0.1389
182,1998-02,0.1703
183,1998-03,0.1727
184,1998-04,0.1987
185,1998-05,0.16695
186,1998-06,0.15535
187,1998-07,0.1929
188,1998-08,0.19065
189,1998-09,0.18235
190,1998-10,0.1577
191,1998-11,0.17435
192,1998-12,0.2238
193,1999-01,0.18615
194,1999-02,0.1496
195,1999-03,0.1346
196,1999-04,0.1241
197,1999-05,0.1292
198,1999-06,0.1266
199,1999-07,0.142225
200,1999-08,0.332
201,1999-09,0.28275
202,1999-10,0.2044
203,1999-11,0.1713
204,1999-12,0.15445
205,2000-01,0.1516
206,2000-02,0.1433
207,2000-03,0.137075
208,2000-04,0.1266
209,2000-05,0.1241
210,2000-06,0.1288
211,2000-07,0.1733
212,2000-08,0.1599
213,2000-09,0.1578
214,2000-10,0.1431
215,2000-11,0.1756
216,2000-12,0.2449
217,2001-01,0.31
218,2001-02,0.34615
219,2001-03,0.3037
220,2001-04,0.2187
221,2001-05,0.1825
222,2001-06,0.1764
223,2001-07,0.1886
224,2001-08,0.241175
225,2001-09,0.2188
226,2001-10,0.16915
227,2001-11,0.1645
228,2001-12,0.1559
229,2002-01,0.1477
230,2002-02,0.1482
231,2002-03,0.143
232,2002-04,0.129
233,2002-05,0.1284
234,2002-06,0.1275
235,2002-07,0.1327
236,2002-08,0.3564
237,2002-09,0.291075
238,2002-10,0.2179
239,2002-11,0.1777
240,2002-12,0.1597
241,2003-01,0.1471
242,2003-02,0.14965
243,2003-03,0.1388
244,2003-04,0.12805
245,2003-05,0.1395
246,2003-06,0.1266
247,2003-07,0.12975
248,2003-08,0.1441
249,2003-09,0.1394
250,2003-10,0.1295
251,2003-11,0.1355
252,2003-12,0.1309
253,2004-01,0.1531
254,2004-02,0.1615
255,2004-03,0.2253
256,2004-04,0.1498
257,2004-05,0.1488
258,2004-06,0.14335
259,2004-07,0.15025
260,2004-08,0.267
261,2004-09,0.2253
262,2004-10,0.199
263,2004-11,0.16325
264,2004-12,0.171
265,2005-01,0.226
266,2005-02,0.2926
267,2005-03,0.3108
