"month","year","x"
1,1983,0.1193473245
2,1983,NA
3,1983,NA
4,1983,NA
5,1983,NA
6,1983,NA
7,1983,NA
8,1983,NA
9,1983,NA
10,1983,NA
11,1983,NA
12,1983,NA
1,1984,NA
2,1984,NA
3,1984,NA
4,1984,0.165524942
5,1984,0.1457595735
6,1984,0.1419604
7,1984,0.150245938
8,1984,NA
9,1984,NA
10,1984,NA
11,1984,0.157716432666667
12,1984,0.156483616
1,1985,NA
2,1985,NA
3,1985,NA
4,1985,0.180985831
5,1985,NA
6,1985,NA
7,1985,0.154301404
8,1985,0.223689867
9,1985,0.211058051
10,1985,0.201779763
11,1985,0.192443778
12,1985,0.165209227
1,1986,0.161879117
2,1986,0.154486844
3,1986,0.1545348625
4,1986,0.148508213
5,1986,0.1399822935
6,1986,0.139510333
7,1986,0.16098602225
8,1986,0.196178998666667
9,1986,0.1996285345
10,1986,0.18469907
11,1986,NA
12,1986,0.151107404
1,1987,0.1381488
2,1987,0.145952142
3,1987,0.12347456
4,1987,0.184369300333333
5,1987,0.17630750025
6,1987,0.151980751
7,1987,0.1588863615
8,1987,0.250231076
9,1987,0.2580609135
10,1987,0.190770346666667
11,1987,NA
12,1987,NA
1,1988,NA
2,1988,0.116811117
3,1988,0.134623996
4,1988,0.156475241333333
5,1988,0.142048418
6,1988,0.1371841955
7,1988,0.160564203
8,1988,0.262232488666667
9,1988,0.244999591
10,1988,0.2028803555
11,1988,NA
12,1988,NA
1,1989,NA
2,1989,0.134749351
3,1989,NA
4,1989,0.140931366
5,1989,0.1343862185
6,1989,0.127258491833333
7,1989,0.134930936666667
8,1989,0.303802317
9,1989,0.2586670845
10,1989,0.218684471
11,1989,NA
12,1989,NA
1,1990,NA
2,1990,NA
3,1990,NA
4,1990,0.10803277425
5,1990,0.111629682666667
6,1990,0.124024000333333
7,1990,0.137407591
8,1990,0.314448498
9,1990,0.222223609
10,1990,0.1816892045
11,1990,NA
12,1990,NA
1,1991,NA
2,1991,NA
3,1991,0.1302832225
4,1991,0.15590745325
5,1991,0.151401333
6,1991,0.1330315808
7,1991,0.154088219333333
8,1991,0.223225209
9,1991,0.189591961
10,1991,0.174488337666667
11,1991,NA
12,1991,NA
1,1992,NA
2,1992,NA
3,1992,0.1637948885
4,1992,0.229015573
5,1992,0.200777969
6,1992,0.202649615571429
7,1992,0.1951625735
8,1992,0.232822631
9,1992,0.194335170666667
10,1992,0.172814500666667
11,1992,0.1499530045
12,1992,NA
1,1993,0.138065096
2,1993,0.15825384
3,1993,0.197224098
4,1993,0.18291046675
5,1993,0.1588632175
6,1993,0.151225004
7,1993,0.137639247333333
8,1993,0.143428186333333
9,1993,0.17264808
10,1993,0.15307288725
11,1993,0.132399396666667
12,1993,0.120876119333333
1,1994,0.109035787
2,1994,0.109971203
3,1994,0.116076552333333
4,1994,0.112353784
5,1994,0.116409629666667
6,1994,0.114238939333333
7,1994,0.113065373666667
8,1994,0.120992747
9,1994,0.153297876
10,1994,0.123015478333333
11,1994,0.112657676
12,1994,0.121459455
1,1995,0.132444053
2,1995,0.22428902675
3,1995,0.32019931175
4,1995,0.2614287825
5,1995,0.19075572875
6,1995,0.18004389775
7,1995,0.18677098225
8,1995,0.1876683555
9,1995,0.205894555333333
10,1995,0.24027271125
11,1995,0.204873448666667
12,1995,0.180400764
1,1996,0.156599401333333
2,1996,0.145868293
3,1996,0.135077681
4,1996,0.132136663666667
5,1996,0.125315223666667
6,1996,0.128337831
7,1996,0.214290992666667
8,1996,0.202223484
9,1996,0.205208809
10,1996,0.198268702
11,1996,0.145357529
12,1996,0.153601037
1,1997,0.162729659666667
2,1997,0.177235271
3,1997,0.208271467
4,1997,0.167674084666667
5,1997,0.14867632
6,1997,0.150271496333333
7,1997,0.13691723
8,1997,0.19627336
9,1997,0.17127941775
10,1997,0.153496249
11,1997,0.120196142
12,1997,0.124393840666667
1,1998,0.1257808485
2,1998,0.170698085666667
3,1998,0.150837209
4,1998,0.18000012875
5,1998,0.146362449
6,1998,0.14029446225
7,1998,0.175864862
8,1998,0.17860151975
9,1998,0.1678768715
10,1998,0.1405948535
11,1998,0.158754622
12,1998,0.2044174625
1,1999,0.166711458
2,1999,0.129380503666667
3,1999,0.112056782333333
4,1999,0.1063511735
5,1999,0.108193949333333
6,1999,0.112553575
7,1999,0.132779013166667
8,1999,0.312848338
9,1999,0.2606590578
10,1999,0.193210115571429
11,1999,0.158338097857143
12,1999,0.137999515666667
1,2000,0.1320717555
2,2000,0.123857683571429
3,2000,0.116390640666667
4,2000,0.1075092162
5,2000,0.102916264285714
6,2000,0.1098590412
7,2000,0.1539340374
8,2000,0.143842447333333
9,2000,0.1381424642
10,2000,0.1285780598
11,2000,0.15907388775
12,2000,0.224300703
1,2001,0.279801833
2,2001,0.312089465285714
3,2001,0.28020339975
4,2001,0.207055466714286
5,2001,0.167598093125
6,2001,0.158174041333333
7,2001,0.1702464405
8,2001,0.209168868333333
9,2001,0.202292804333333
10,2001,0.158251481666667
11,2001,0.142541804333333
12,2001,0.132925239
1,2002,0.127087474428571
2,2002,0.121018811166667
3,2002,0.120615545
4,2002,0.10823833775
5,2002,0.109301644166667
6,2002,0.108242688285714
7,2002,0.11536134225
8,2002,0.312602417571429
9,2002,0.284292083333333
10,2002,0.203088962571429
11,2002,0.163424474166667
12,2002,0.1354990368
1,2003,0.124162887
2,2003,0.122046085666667
3,2003,0.1226204795
4,2003,0.1120707876
5,2003,0.117380438666667
6,2003,0.108719306666667
7,2003,0.108665040333333
8,2003,0.120289813333333
9,2003,0.1183051555
10,2003,0.1147735462
11,2003,0.112564188833333
12,2003,0.109593685428571
1,2004,0.136725198833333
2,2004,0.158524523
3,2004,0.193332247833333
4,2004,0.14369343275
5,2004,0.128495934142857
6,2004,0.121194867625
7,2004,0.125477216
8,2004,0.276345680666667
9,2004,0.217233943
10,2004,0.184414342
11,2004,0.147674010875
12,2004,0.1488498886
1,2005,0.19098505575
2,2005,0.253570743666667
3,2005,0.2836056865
4,2005,0.185723938625
5,2005,0.147794986625
6,2005,0.143875029142857
7,2005,0.146149118166667
8,2005,0.177516704666667
9,2005,0.203365306
10,2005,0.156277201666667
11,2005,0.135458440142857
12,2005,0.117475203
1,2006,0.102579265
2,2006,0.108685557666667
3,2006,0.1047462438
4,2006,0.1013577585
5,2006,0.0968606683333333
6,2006,0.101799891
7,2006,0.124886553666667
8,2006,0.4830029185
9,2006,0.39030836
10,2006,0.27353288025
11,2006,0.220607491857143
12,2006,0.160363677666667
1,2007,0.12744942375
2,2007,0.111066264666667
3,2007,0.114560737
4,2007,0.126098594714286
5,2007,0.13390017425
6,2007,0.143209462666667
7,2007,0.169064269714286
8,2007,0.360431852
9,2007,0.325071280333333
10,2007,0.215120638
11,2007,0.165982803666667
12,2007,0.140184163
1,2008,0.124865781333333
2,2008,0.12125859525
3,2008,0.121730712625
4,2008,0.112278626857143
5,2008,0.109451581857143
6,2008,0.105981085166667
7,2008,0.1774510075
8,2008,0.4207600884
9,2008,0.2881608638
10,2008,0.1840270435
11,2008,0.146396186285714
12,2008,0.1198759428
1,2009,0.113645865833333
2,2009,0.100225883285714
3,2009,0.0896632204
4,2009,0.095677291
5,2009,0.093751636
6,2009,0.1057035855
7,2009,0.135467092285714
8,2009,0.131743618333333
9,2009,0.124276761571429
10,2009,0.1195704585
11,2009,0.116166329857143
12,2009,0.113271109833333
1,2010,0.11054975625
2,2010,0.1147443575
3,2010,0.1399050106
4,2010,0.1965399562
5,2010,0.16570486025
6,2010,0.147962380857143
7,2010,0.1516101356
8,2010,0.176834624
9,2010,0.168000728833333
10,2010,0.147422567
11,2010,0.131425523625
12,2010,0.1198459525
1,2011,0.1158615958
2,2011,0.1093220144
3,2011,0.10810508525
4,2011,0.1038109845
5,2011,0.105856529
6,2011,0.103810872666667
7,2011,0.120817652333333
8,2011,0.289900087833333
9,2011,0.2406330665
10,2011,0.19081999825
11,2011,0.14154498325
12,2011,0.115986876666667
1,2012,0.1108169395
2,2012,0.14013377975
3,2012,0.1927632675
4,2012,0.154577729333333
5,2012,0.1239796285
6,2012,0.11957201275
7,2012,0.165728611
8,2012,0.164874818
9,2012,0.1807907335
10,2012,0.136707897
11,2012,0.1125217035
12,2012,0.118850139
1,2013,0.107204278
2,2013,0.101463639
3,2013,0.0984561373333333
4,2013,0.098614047
5,2013,0.0947093265
6,2013,0.0995894055
7,2013,0.1721695225
8,2013,0.223904820666667
9,2013,0.2534333625
10,2013,0.2009792485
11,2013,0.1443577535
12,2013,0.1224803895
1,2014,0.11095940275
2,2014,0.1106472625
3,2014,0.117436351666667
4,2014,0.107021910666667
5,2014,0.107893589666667
6,2014,0.1059549905
7,2014,0.13644443575
8,2014,0.3706785015
9,2014,0.296635352
10,2014,0.267580487333333
11,2014,0.215326566333333
12,2014,0.13439949
1,2015,0.128188524
2,2015,0.139399215
3,2015,0.171752496
4,2015,0.19018097
5,2015,0.1430715655
6,2015,0.14311067025
7,2015,0.2628438335
8,2015,0.289475315333333
9,2015,NA
10,2015,0.207169964
11,2015,0.164328368666667
12,2015,0.1277924495
1,2016,0.115861552666667
2,2016,0.114681577
3,2016,0.118200074
4,2016,0.118404778
5,2016,0.116776133
6,2016,0.140163086
7,2016,0.219580880333333
8,2016,0.240651427
9,2016,0.264045427
10,2016,0.230911513666667
11,2016,0.1766152045
12,2016,0.1359373975
1,2017,0.121909955
2,2017,0.134682259
3,2017,0.171709451
4,2017,0.14412684
5,2017,0.1287195675
6,2017,0.127238263
7,2017,0.129889429
