"recordID","month","day","year","period","plot","note1","stake","species","sex","tag"
5151,12,31,1981,53,8,3,"69","DO","M","4913"
5232,1,24,1982,54,9,3,"38","DO","F","4971"
5908,5,21,1982,58,23,3,"5?","RM","M","0"
11092,11,17,1985,95,2,3,"?4","DM","F","5999"
19254,11,13,1991,165,1,3,"01","DO","F","1986"
22829,9,24,1995,212,9,3,"3?","DM",,"0D5237"
30841,6,4,2000,265,6,3,"49","PB","F","512826"
31688,12,23,2000,271,9,3,"7?","DM","M","604"
32430,8,25,2001,279,17,3,"49","PB","F","5C4A62"
34241,6,15,2002,289,18,3,"28","PB","M","0E2000"
34594,7,14,2002,290,9,3,"49","OT","F","484244"
35204,12,7,2002,294,2,3,"29","OT","M","225F03"
37081,6,28,2003,301,2,3,"?4","PP","F","5B1622"
38214,10,26,2003,305,11,3,"2?","OT","M","790F7C"
39245,7,19,2004,314,3,3,"68","PI","F","252A6D"
39787,11,13,2004,318,12,3,"19","DO","M","0B723F"
46284,7,14,2007,350,17,3,"6?","PP","F","1E7B23"
46905,9,8,2007,352,1,3,"2?","DO","M","6D5049"
47501,10,13,2007,353,17,3,"48","SF","F","015F03"
49091,2,10,2008,357,7,3,"79","PP","F",
49382,4,6,2008,359,1,3,"50","DO","F","4A522D"
61531,3,26,2015,436,20,3,"6?","PB","M","B1FF51"
